DATE,storage, inflow,discharge
10/14/84,25325.99,887.05,500
10/15/84,25745.63,393.42,167
10/16/84,26093.29,175.28,0
10/17/84,26377.02,143.04,0
10/18/84,26890,258.63,0
10/19/84,27376.93,1167.44,958
10/20/84,26583.11,1598.87,2000
10/21/84,25812.6,1604.04,2000
10/22/84,25053.6,1616.53,2000
10/23/84,24096.75,1521.47,2000
10/24/84,23235.36,1565.55,2000
10/25/84,22867.04,1813.21,2000
10/26/84,22985,2059.47,2000
10/27/84,23152,2084.2,2000
10/28/84,23307,2078.15,2000
10/29/84,23476.52,2082.09,2000
10/30/84,23512.62,2016.3,2000
10/31/84,23793.15,2139.62,2000
11/1/84,24295.82,2255.78,2000
11/2/84,24945.33,1784.07,1450
11/3/84,25701.08,1578.52,1200
11/4/84,26434.18,1571.16,1200
11/5/84,26814.35,1387.11,1200
11/6/84,26918.73,1243.89,1200
11/7/84,27070.7,1268.47,1200
11/8/84,27211.43,1263.57,1200
11/9/84,26965.42,1068.83,1200
11/10/84,26399.84,905.13,1200
11/11/84,25812.6,891.21,1200
11/12/84,25249.35,900.06,1200
11/13/84,25501.8,546.28,400
11/14/84,26434.18,470.07,0
11/15/84,27023.86,297.3,0
11/16/84,26837.3,324.94,442
11/17/84,24891.39,204.85,1200
11/18/84,22925.84,184.79,1200
11/19/84,22353.73,1396.12,1700
11/20/84,23247.35,2456.54,2000
11/21/84,24075.89,2421.9,2000
11/22/84,24762.64,2355.47,2000
11/23/84,25391.89,2324.25,2000
11/24/84,26093.29,2353.94,2000
11/25/84,26756.34,2337.23,2000
11/26/84,27012.16,2130.54,2000
11/27/84,26907.11,1945.2,2000
11/28/84,26848.89,1968.92,2000
11/29/84,26779.52,1963.54,2000
11/30/84,26115.9,1262.52,1620
12/1/84,25857.34,865.17,1000
12/2/84,25479.73,803.87,1000
12/3/84,25194.75,386.21,556
12/4/84,24988.57,100.8,232
12/5/84,24794.82,106.86,232
12/6/84,24602.31,107.28,232
12/7/84,24977.76,729.37,566
12/8/84,25468.7,1243.17,1000
12/9/84,26014.3,1273.07,1000
12/10/84,26240.58,1111.99,1000
12/11/84,26048.12,899.19,1000
12/12/84,25969.29,1281.7,1330
12/13/84,26104.57,1563.98,1500
12/14/84,26172.47,1530.74,1500
12/15/84,26195.17,1508.09,1500
12/16/84,26297.17,1548.59,1500
12/17/84,26342.78,1520.65,1500
12/18/84,26319.97,1486.15,1500
12/19/84,26251.69,1462.97,1500
12/20/84,26195.17,1137.88,1160
12/21/84,26172.47,1485.27,1500
12/22/84,26195.17,1508.2,1500
12/23/84,26195.17,1496.79,1500
12/24/84,26388.44,1594.94,1500
12/25/84,26399.84,1503.92,1500
12/26/84,26388.44,1492.37,1500
12/27/84,26422.74,1515.45,1500
12/28/84,26491.49,1533.11,1500
12/29/84,26525.92,1516.16,1500
12/30/84,26571.63,1522.12,1500
12/31/84,26617.66,1522.57,1500
1/1/85,26617.66,1499.51,1500
1/2/85,26548.6,1464.48,1500
1/3/85,26491.49,1470.1,1500
1/4/85,26434.18,1469.65,1500
1/5/85,26422.74,1492.57,1500
1/6/85,26434.18,1504.09,1500
1/7/85,26480,1521.6,1500
1/8/85,26537.11,1527.65,1500
1/9/85,26583.11,1522.44,1500
1/10/85,26583.11,1499.36,1500
1/11/85,26571.63,1493.46,1500
1/12/85,26594.62,1510.9,1500
1/13/85,26606.16,1505.25,1500
1/14/85,26583.11,1487.77,1500
1/15/85,26548.6,1481.75,1500
1/16/85,26537.11,1493.28,1500
1/17/85,26537.11,1499.01,1500
1/18/85,26606.16,862.8,825
1/19/85,27000.47,556.59,350
1/20/85,27388.78,554.2,350
1/21/85,27806.43,567.23,350
1/22/85,28206.34,557.7,350
1/23/85,28169.73,338.05,350
1/24/85,27698.55,118.39,350
1/25/85,27211.43,109.63,350
1/26/85,26698.48,95.82,350
1/27/85,26195.17,99.89,350
1/28/85,25723.35,118.01,350
1/29/85,25282.17,133.2,350
1/30/85,24816.32,119.99,350
1/31/85,24337.68,113.94,350
2/1/85,24180.36,277.54,350
2/2/85,24411.58,473.63,350
2/3/85,24655.65,480.54,350
2/4/85,24784.11,422.63,350
2/5/85,24762.64,211.86,233
2/6/85,24687.7,116.03,174
2/7/85,24623.65,121.47,174
2/8/85,24591.92,137.72,174
2/9/85,24538.74,126.88,174
2/10/85,24485.68,126.89,174
2/11/85,24411.58,116.23,174
2/12/85,24379.89,137.57,174
2/13/85,24337.68,132.25,174
2/14/85,24285.3,127.08,174
2/15/85,24222.3,121.67,174
2/16/85,24180.36,132.26,174
2/17/85,24138.54,132.28,174
2/18/85,24086.34,127.01,174
2/19/85,24034.49,127.14,174
2/20/85,23992.9,132.27,174
2/21/85,23951.36,132.27,174
2/22/85,23941.01,147.97,174
2/23/85,23941.01,153.19,174
2/24/85,23961.75,163.65,174
2/25/85,24013.68,179.4,174
2/26/85,24034.49,163.74,174
2/27/85,24044.89,158.52,174
2/28/85,24065.75,163.8,174
3/1/85,24117.63,179.46,174
3/2/85,24180.36,184.98,174
3/3/85,24211.79,169.24,174
3/4/85,24232.79,164.01,174
3/5/85,24253.78,164.02,174
3/6/85,24264.28,158.74,174
3/7/85,24264.28,153.45,174
3/8/85,24264.28,153.45,174
3/9/85,24264.28,153.45,174
3/10/85,24264.28,153.45,174
3/11/85,24400,221.87,174
3/12/85,24464.48,184.68,174
3/13/85,24581.28,210.18,174
3/14/85,24719.79,223.59,174
3/15/85,24945.33,267.6,174
3/16/85,25205.66,285.33,174
